dataset,threshold,mAP_mean,mAP_sd,AUC_mean,AUC_sd,clean_mAP_mean,clean_mAP_sd,retention_mean,retention_sd
DRAMP_antibacterial,0.3,0.8759,0.0055344376408086,0.9539666666666666,0.0010503967504392,0.8761666666666666,0.0035218366420567,40.8,0.0999999999999978
DRAMP_antibacterial,0.4,0.8818,0.0084870489570875,0.9525333333333332,0.0028095076674274,0.8810666666666667,0.0053947505348564,49.03333333333333,0.2516611478423581
DRAMP_antibacterial,0.5,0.8871,0.0097139075556647,0.9532333333333334,0.0033560889936551,0.8862,0.0062745517768203,56.266666666666666,0.2081665999466122
DRAMP_antibacterial,0.6,0.8932,0.0107084079115431,0.9532,0.0038691084244306,0.8935333333333333,0.006412747721011,64.86666666666667,0.0577350269189675
DRAMP_antibacterial,0.7,0.8982333333333333,0.0098799460187459,0.9528666666666666,0.0042335957923889,0.8982333333333333,0.0068806491941773,73.2,0.2000000000000028
DRAMP_antibacterial,0.8,0.9022333333333332,0.0111239980822244,0.9529333333333332,0.0051013070220614,0.9021333333333332,0.0081543444453452,81.66666666666667,0.2081665999466173
DRAMP_antibacterial,0.9,0.9059666666666668,0.0096774652328662,0.9529333333333332,0.0048013886880082,0.9050666666666668,0.0063657940065111,91.56666666666666,0.1527525231651922
DRAMP_antibacterial,1.0,0.9042,0.0103377947358225,0.9525666666666668,0.0053163270528941,0.9032666666666668,0.0060665750908839,99.3,0.0
APD6,0.3,0.9204333333333332,0.008434650753489,0.9742333333333334,0.0024583192089989,0.8986999999999999,0.009429740187301,38.23333333333333,0.2886751345948128
APD6,0.4,0.9262,0.0048538644398046,0.9739,0.0015132745950421,0.9056,0.0070021425292548,46.03333333333333,0.4509249752822887
APD6,0.5,0.9292666666666668,0.003957692930652,0.9741,0.0016462077633154,0.9105666666666666,0.0054261711485478,52.833333333333336,0.4041451884327355
APD6,0.6,0.9344333333333332,0.0046360903068569,0.9743666666666668,0.0017616280348964,0.9165666666666666,0.0046608296829355,60.93333333333333,0.0577350269189634
APD6,0.7,0.9401,0.0010816653826392,0.9747666666666668,0.0018770544300401,0.9227,0.0019519221295943,69.3,0.2999999999999971
APD6,0.8,0.9425,0.0011269427669584,0.9745666666666668,0.0019731531449264,0.9281333333333334,0.0019139836293273,78.26666666666667,0.1154700538379268
APD6,0.9,0.9439,0.0008888194417315,0.9747333333333332,0.0015307950004273,0.9304,0.0013228756555322,89.33333333333334,0.1154700538379268
APD6,1.0,0.9412666666666668,0.0003214550253664,0.9743,0.0012489995996796,0.9264666666666668,0.0033650160970392,99.5,0.0
DBAASP,0.3,0.9135,0.012562245022288,0.9707,0.0041761226035642,0.9155333333333332,0.0059936077059926,35.43333333333333,1.4011899704655788
DBAASP,0.4,0.9147666666666668,0.0151987938117908,0.9713666666666668,0.006018582335844,0.9227666666666666,0.0080525358324774,42.4,1.8357559750685848
DBAASP,0.5,0.9236,0.0175633140380737,0.9729,0.006538348415311,0.9277333333333332,0.0118496132145033,48.7,1.9052558883257635
DBAASP,0.6,0.9342666666666668,0.0133687446431343,0.9760666666666666,0.0053594153910042,0.938,0.011701281981048,56.73333333333333,1.8475208614068
DBAASP,0.7,0.9329666666666668,0.0088489170712202,0.9755333333333333,0.0037740340927624,0.9348333333333334,0.0090666053919498,66.56666666666666,1.7214335111567158
DBAASP,0.8,0.9305666666666668,0.0105633012516605,0.9749333333333332,0.0038656607887052,0.9330666666666668,0.0093628699303863,77.16666666666667,2.218858565419014
DBAASP,0.9,0.9308333333333332,0.0133275404082423,0.9756333333333334,0.0044635561308594,0.9343,0.0127432334986062,89.23333333333333,0.4041451884327367
DBAASP,1.0,0.9313,0.0152285915304075,0.9757333333333332,0.0050540412872604,0.9334,0.0137291660343955,97.86666666666667,0.0577350269189675
ESCAPE_ESM2,0.3,0.7672,0.0,0.9679,0.0,,,51.0,0.0
ESCAPE_ESM2,0.4,0.8036,0.0,0.9737,0.0,,,59.5,0.0
ESCAPE_ESM2,0.5,0.822,0.0,0.977,0.0,,,66.9,0.0
ESCAPE_ESM2,0.6,0.8438,0.0,0.9799,0.0,,,74.5,0.0
ESCAPE_ESM2,0.7,0.8584,0.0,0.9818,0.0,,,81.0,0.0
ESCAPE_ESM2,0.8,0.8719,0.0,0.9835,0.0,,,87.8,0.0
ESCAPE_ESM2,0.9,0.8809,0.0,0.9843,0.0,,,94.7,0.0
ESCAPE_ESM2,1.0,0.8839,0.0,0.9851,0.0,,,99.5,0.0
