dataset,threshold,mAP_mean,mAP_sd,AUC_mean,AUC_sd,clean_mAP_mean,clean_mAP_sd,retention_mean,retention_sd
DRAMP_antibacterial,0.3,0.8759,0.006,0.954,0.001,0.876,0.004,40.8,0.1
DRAMP_antibacterial,0.4,0.8818,0.008,0.953,0.003,0.881,0.005,49.033,0.252
DRAMP_antibacterial,0.5,0.8871,0.01,0.953,0.003,0.8862,0.006,56.267,0.208
DRAMP_antibacterial,0.6,0.8932,0.011,0.953,0.004,0.894,0.006,64.867,0.058
DRAMP_antibacterial,0.7,0.898,0.01,0.953,0.004,0.898,0.007,73.2,0.2
DRAMP_antibacterial,0.8,0.902,0.011,0.953,0.005,0.902,0.008,81.667,0.208
DRAMP_antibacterial,0.9,0.906,0.01,0.953,0.005,0.905,0.006,91.567,0.153
DRAMP_antibacterial,1.0,0.9042,0.01,0.953,0.005,0.903,0.006,99.3,0.0
APD6,0.3,0.92,0.008,0.974,0.002,0.899,0.009,38.233,0.289
APD6,0.4,0.9262,0.005,0.9739,0.002,0.9056,0.007,46.033,0.451
APD6,0.5,0.929,0.004,0.9741,0.002,0.911,0.005,52.833,0.404
APD6,0.6,0.934,0.005,0.974,0.002,0.917,0.005,60.933,0.058
APD6,0.7,0.9401,0.001,0.975,0.002,0.9227,0.002,69.3,0.3
APD6,0.8,0.9425,0.001,0.975,0.002,0.928,0.002,78.267,0.115
APD6,0.9,0.9439,0.001,0.975,0.002,0.9304,0.001,89.333,0.115
APD6,1.0,0.941,0,0.974,0.001,0.926,0.003,99.5,0.0
DBAASP,0.3,0.9135,0.013,0.9707,0.004,0.916,0.006,35.433,1.401
DBAASP,0.4,0.915,0.015,0.971,0.006,0.923,0.008,42.4,1.836
DBAASP,0.5,0.9236,0.018,0.9729,0.007,0.928,0.012,48.7,1.905
DBAASP,0.6,0.934,0.013,0.976,0.005,0.938,0.012,56.733,1.848
DBAASP,0.7,0.933,0.009,0.976,0.004,0.935,0.009,66.567,1.721
DBAASP,0.8,0.931,0.011,0.975,0.004,0.933,0.009,77.167,2.219
DBAASP,0.9,0.931,0.013,0.976,0.004,0.9343,0.013,89.233,0.404
DBAASP,1.0,0.9313,0.015,0.976,0.005,0.9334,0.014,97.867,0.058
ESCAPE_ESM2,0.3,0.7672,0.0,0.9679,0.0,,,51.0,0.0
ESCAPE_ESM2,0.4,0.8036,0.0,0.9737,0.0,,,59.5,0.0
ESCAPE_ESM2,0.5,0.822,0.0,0.977,0.0,,,66.9,0.0
ESCAPE_ESM2,0.6,0.8438,0.0,0.9799,0.0,,,74.5,0.0
ESCAPE_ESM2,0.7,0.8584,0.0,0.9818,0.0,,,81.0,0.0
ESCAPE_ESM2,0.8,0.8719,0.0,0.9835,0.0,,,87.8,0.0
ESCAPE_ESM2,0.9,0.8809,0.0,0.9843,0.0,,,94.7,0.0
ESCAPE_ESM2,1.0,0.8839,0.0,0.9851,0.0,,,99.5,0.0
